WKT,GEOID,NAME,variable,estimate,moe
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B01003_001,2835,45
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B03002_003,1538,182
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B03002_004,220,115
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B03002_012,381,107
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B11001_001,0,14
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B11001_006,0,14
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B15003_022,0,14
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B15003_023,38,77
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B15003_024,4,8
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B15003_025,0,14
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B17001_002,64,5
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B19013_001,,
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B23025_005,132,76
