tract,year,shift,total_crimes,violent_crimes,property_crimes,nearest_station,dist_to_nearest_metro,name,nearest_station_id,stations_within_400m,stations_within_800m,line,above_ground,transfer_station,total_population,median_household_income,log_pop,pct_white,pct_black_nh,pct_hispanic,pct_bachelors_only,pct_graduate,pct_poverty,pct_unemployed,pct_single_parent,pct_renter,pct_vacant,red_line,green_line,yellow_line,blue_line,orange_line,silver_line,blue_orange_silver_line,green_yellow_line
"Census Tract 10.02, District of Columbia, District of Columbia",2020,EVENING,30,1,29,Tenleytown-AU,1160.3685363579882,Tenleytown-AU,MetroStnPt_4,0,0,red,0,0,3489,140772,8.157370441186774,0.6729721983376326,0.06047578102608197,0.12639724849527084,0.2527944969905417,0.4052737173975351,0.10690742333046718,0.040412725709372314,0.026111111111111113,0.5121392579019698,0.17544663307375172,1,0,0,0,0,0,0,0
"Census Tract 28.01, District of Columbia, District of Columbia",2020,EVENING,49,11,38,Columbia Heights,806.5352051873949,Columbia Heights,MetroStnPt_9,0,0,green,0,0,4104,62323,8.319717386850606,0.3340643274853801,0.2536549707602339,0.28630604288499023,0.2219785575048733,0.24683235867446393,0.19273879142300196,0.012914230019493177,0.12316715542521994,0.7660884163402351,0.04588696138780078,0,1,0,0,0,0,0,1
"Census Tract 31, District of Columbia, District of Columbia",2020,EVENING,102,9,93,Columbia Heights,689.4662908579592,Columbia Heights,MetroStnPt_9,0,2,green,0,0,3825,133408,8.249313746260636,0.4177777777777778,0.2580392156862745,0.2407843137254902,0.20784313725490197,0.3788235294117647,0.05568627450980392,0.03869281045751634,0.10307982401005657,0.40816326530612246,0.045018007202881155,0,1,0,0,0,0,0,1
"Census Tract 40.01, District of Columbia, District of Columbia",2020,EVENING,51,0,51,Woodley Park-Zoo Adams Morgan,705.2207311809577,Woodley Park-Zoo Adams Morgan,MetroStnPt_10,0,1,red,0,0,4785,153650,8.473241303887054,0.8217345872518287,0.04764890282131661,0.07565308254963428,0.36217345872518286,0.4436781609195402,0.015256008359456636,0.02110762800417973,0.029635901778154106,0.5719602977667494,0.02315963606286187,1,0,0,0,0,0,0,0
"Census Tract 105, District of Columbia, District of Columbia",2020,EVENING,27,5,22,Federal Center SW,417.74023110891994,Federal Center SW,MetroStnPt_32,0,3,"blue, orange, silver",0,0,3927,92083,8.27563105457801,0.5457091927680163,0.28775146422205244,0.08708938120702826,0.2790934555640438,0.3519225872167049,0.20091673032849502,0.010185892538833716,0.06177426846261031,0.6109395677106307,0.050286722540802825,0,0,0,1,1,1,1,0
"Census Tract 46, District of Columbia, District of Columbia",2020,EVENING,90,23,67,Mt Vernon Sq - 7th St Convention Center,832.2780360927034,Mt Vernon Sq - 7th St Convention Center,MetroStnPt_17,0,0,"green, yellow",0,0,3169,129896,8.06117135969092,0.4212685389712843,0.4367308299147996,0.05932470810981382,0.20069422530766803,0.305459135373935,0.09214263174502998,0.031240138845061535,0.1550877192982456,0.4569672131147541,0.02663934426229508,0,1,1,0,0,0,0,1
"Census Tract 88.03, District of Columbia, District of Columbia",2020,EVENING,194,22,172,NoMa - Gallaudet U,1075.1072495808025,NoMa - Gallaudet U,MetroStnPt_16,0,0,red,1,0,3376,60819,8.124446855715847,0.21623222748815166,0.5912322274881516,0.13981042654028436,0.10545023696682465,0.06664691943127962,0.29739336492890994,0.06842417061611375,0.17583603020496225,0.7066549912434326,0.18826619964973731,1,0,0,0,0,0,0,0
"Census Tract 95.07, District of Columbia, District of Columbia",2020,EVENING,9,2,7,Fort Totten,818.7380069151636,Fort Totten,MetroStnPt_3,0,0,"red, green",1,1,1889,72880,7.543802867501509,0.035468501852832186,0.7903652726310217,0.15669666490206458,0.10375860243515088,0.09370037056643726,0.22657490735839067,0.059290629962943354,0.32538330494037476,0.127831715210356,0.05016181229773463,1,1,0,0,0,0,0,1
"Census Tract 95.09, District of Columbia, District of Columbia",2020,EVENING,23,1,22,Fort Totten,686.7975249722921,Fort Totten,MetroStnPt_3,0,1,"red, green",1,1,3575,86042,8.181720455128108,0.08867132867132867,0.8092307692307692,0.07552447552447553,0.16755244755244755,0.10517482517482518,0.025734265734265734,0.02041958041958042,0.19662921348314608,0.08828250401284109,0,1,1,0,0,0,0,0,1
"Census Tract 53.03, District of Columbia, District of Columbia",2020,EVENING,45,4,41,Dupont Circle,373.3975796797944,Dupont Circle,MetroStnPt_14,1,2,red,0,0,2723,97181,7.909489492673759,0.7275064267352185,0.031215571061329415,0.085200146896805,0.31509364671318396,0.532133676092545,0.09511568123393316,0.02093279471171502,0,0.4343065693430657,0.08348540145985402,1,0,0,0,0,0,0,0
"Census Tract 102.02, District of Columbia, District of Columbia",2020,EVENING,88,6,82,L'Enfant Plaza,295.04723391129363,L'Enfant Plaza,MetroStnPt_34,1,3,"green, yellow, orange, blue, silver",0,1,1707,100333,7.442492722794441,0.5483304042179262,0.30638547158758056,0.05916813122437024,0.2606912712360867,0.3327475102519039,0.05975395430579965,0,0.14597701149425288,0.38354700854700857,0.07051282051282051,0,1,1,1,1,1,1,1
"Census Tract 50.03, District of Columbia, District of Columbia",2020,EVENING,48,2,46,McPherson Sq,721.6315732288205,McPherson Sq,MetroStnPt_19,0,2,"blue, orange, silver",0,0,1617,116250,7.388327859577107,0.5800865800865801,0.10636982065553494,0.1422387136672851,0.20655534941249226,0.5547309833024119,0.05875077303648732,0.0037105751391465678,0,0.5433212996389891,0.1624548736462094,0,0,0,1,1,1,1,0
